freq,Gain,Phase
47863.009232263852027245,-11.32894429314293738287,58.61114131021898998597
52480.7460249772775569,-12.35535041509765008527,60.901392974075122310751
57543.99373371567344293,-13.3522820574677361094,63.109953052236463122426
63095.73444801929872483,-14.32212820830032740105,65.226183773639462515348
69183.097091893621836789,-15.26732789637248721704,67.242582181177297684371
75857.757502918364480138,-16.19027337581720260573,69.154538764353432611642
83176.3771102670871187,-17.09323148159774774513,70.959987816220774448084
91201.08393559095566161,-17.97828401571879908261,72.658995719419635861414
100000,-18.84728586388705906529,74.25332551921131596373
109647.81961431850504596,-19.70183822105714099848,75.746005612030089082509
120226.44346174130623695,-20.5432737399419025337,77.140919556847066473892
131825.67385564075084403,-21.37265043400752162484,78.442424414583967973158
144543.97707459281082265,-22.19075157460600777881,79.654997344465215292075
